target,features1,features2,features3,features4,features5,features6,features7,features8,features9,features10,features11,features12,features13,features14,features15,features16,features17,features18,features19,features20
-1,-0.12657532115343,-2.68320447276659,-2.83785245129371,-4.08443832897552,-3.82357628441949,4.28272797556613,-5.90611280571136,4.52108308462852,-3.1059837868619,-4.23772862886597,-2.3763991786126,-0.0865390142264202,-5.47831048793471,-6.30242844124763,-0.691031373725462,-2.42269765445111,-2.9865693308144,-0.0708779239459418,5.44435295575998,-1.95433021859248
1,-8.74313332786896,5.09042126618371,7.8932108063335,1.58093419225214,-2.36927441806867,-0.620156253024933,-1.31310534471623,-6.26460466607109,-0.521867010210371,2.37003592818233,-6.11532202877834,1.69698753319763,7.55703900861998,-1.4754630903524,3.93067577584418,4.74199718130419,4.50563999608411,-7.06478237685517,1.04953726793847,-3.60859632209402
-1,3.65542226340743,7.60246325150498,-6.90375796534154,-2.29275254586825,8.16817709151564,-3.60833333001313,-5.79439945618691,9.58112871055279,5.69517722284663,10.1672959822077,9.0191760650958,-9.56825825154255,2.84134977026933,1.47418392862622,2.1817008699779,4.81468864076992,-0.634155329993103,5.59160629858868,-4.88778935492142,4.08257697415558
-1,2.21765125268496,2.67348776438744,-2.69528956573028,-5.40991604672374,1.4076367846677,1.04494925733885,-1.8747643986703,8.54525762926725,1.26479776129084,0.88416056307069,1.00308670116545,-0.172734039836558,4.63002585495636,-7.6936398384262,-0.900142735221411,-1.20183955101352,4.87577474056645,2.6466266518626,-1.95628547995443,-3.25931668788853
1,3.05102678135508,-3.7371502479075,4.01004054324486,-3.98608622369756,-3.36072180311201,8.42864908654881,2.19694740436564,-3.6332387030216,-7.01504813466815,4.75061697544731,-2.40002445203193,-5.65388322224044,-4.54839357105328,-0.993999047806,2.83036469178369,-5.27065879075525,-5.36131127793409,4.13108821825199,-3.07542221409379,-2.37456018136606
-1,2.54215140478169,2.72588002862509,7.50025244618875,-4.9719545481411,-2.64448435722342,4.60459039127038,-0.313079498580707,4.39636222824204,-1.55637128836998,1.45401410886063,5.68991420541941,2.93986985205625,-3.22166281028111,-8.03163509240965,6.48461078363214,-0.606131606036858,0.937807940589221,3.06100696097751,-2.19059614737383,2.28419168897099
1,6.83744675558905,1.18582788011516,-3.2525536044516,-1.46418156722052,1.189680135798,-2.67469741928892,0.0836018686980371,5.59433795868411,-2.6803542577126,-1.42653894447016,0.978896409425271,-5.90433881226588,1.20838890019286,-6.7072563111389,-2.88754143700844,-1.41677893159548,-0.672542495534681,-2.22943781774331,-5.76586183890154,0.861293437269965
-1,8.63931423521496,8.78920825275072,2.0684734456302,1.4235419065235,-3.41628236453559,0.526249834566842,-1.06339306463136,5.2267899631439,-0.800170155091064,4.89667815401574,8.29911379907123,3.80329195128171,2.98434732147671,1.67653698161668,1.41271908969603,-0.0410594034052618,-1.09444129394166,0.164656477234137,1.43389567322814,-2.31558592595061
1,-6.56033751852412,-3.28778813111394,0.207293622413011,1.05205560799971,0.60263783859275,-11.9360402642293,1.52997871340541,-3.73593759124808,1.52499980288932,2.06700581266444,-2.21340336256394,-3.93109094472052,-1.2562311586788,-7.32083540504012,-6.10071611730753,10.5561200989798,8.66384839388808,-1.58647250865796,-5.53553591280017,1.20349828719466
-1,-0.646872354413929,3.82488526216153,1.53583559679517,1.98833862679871,3.42299323037822,-0.408804044431003,-2.78399818681434,2.44480717714394,5.11858054847091,6.9238625219213,3.52756607486234,-0.547988983536423,9.72922145051799,-0.245185138436307,4.22748076088934,1.33337461050699,13.1754937462124,2.53632687458327,1.46014771698802,1.94720805461093
-1,4.65339076196484,3.26596562714359,4.96135221881863,2.81224493280127,-1.83437815023742,2.66552060406026,0.884784081232644,5.00664404170571,1.68740560844463,10.7890363023846,7.12967281428511,5.22813131476473,7.46316289971989,0.374903403717066,3.49577026806243,-5.74771255349832,2.85002676160962,3.93404519377265,4.98862187292168,-0.0102697759821737
-1,11.9450870931141,11.4236562152547,9.62129804238144,9.52148209480208,-6.60838456787394,3.51008322811386,2.60658664595846,5.28816185574175,-4.21776091374743,0.899862284229448,10.9891667656344,8.69085246333576,5.28880769488044,-0.7702811327782,10.8354248386142,-8.04910294958111,6.17650994033714,3.31125560026885,-1.86994771103676,8.10779836827071
-1,6.28444248339287,3.71780292802279,4.14315496237731,9.21480060783981,-6.669255878332,2.49173308014576,9.59270994960498,-0.585935865563089,-0.688379324129445,4.93954671187948,0.55962810427924,1.56240231004123,8.56888972805335,2.23276406160094,1.73700405572142,-0.0649706791513034,1.83392683153408,3.90789046450478,-3.15640228810112,-5.98666945172107
1,-1.83430415393094,2.6974447828493,1.54250653333628,2.12523301986196,-4.13198929122509,-4.04380559297254,-5.11163078944064,-1.86516221787802,-4.37749552232062,2.77365283934621,0.446717786732236,0.796662917582735,7.38872914008349,0.304414363633078,10.3005008512194,2.76022821460455,1.48801806273246,14.8301046244545,2.85557138363158,-0.0579567831183452
1,1.69245874946587,0.780724896787795,-1.13701113432579,-0.467590583581962,2.91912583301923,1.4139315951647,-2.85273938387571,6.36328559356214,5.79393204825005,4.98144715045595,3.56608298125518,3.18648455528001,-0.521884948623979,1.8665967076687,-0.965991204601256,3.51824870034351,2.90005732604019,6.70284179014981,3.47532430406448,4.58007205460736
